id,current,proposed,action,reason
uc-berkeley,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,https://financialaid.berkeley.edu/how-aid-works/estimate-your-financial-aid/,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
ucla,https://admission.ucla.edu/tuition-aid/net-cost-calculator,https://admission.ucla.edu/tuition-aid/net-cost-calculator,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
uc-san-diego,https://fas.ucsd.edu/forms-and-resources/financial-aid-estimator/index.html,https://fas.ucsd.edu/forms-and-resources/financial-aid-estimator/index.html,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
uc-davis,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,https://myawards.ucdavis.edu/AidEstimator,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
uc-irvine,https://ofas.uci.edu/cost/net-price-calculator.php,https://www.ofas.uci.edu/content/Calculator.aspx,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
uc-santa-barbara,https://www.finaid.ucsb.edu/costs-estimated-aid/net-price-calculator,https://finaid.ucsb.edu/net-price-calculator,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
uc-santa-cruz,https://financialaid.ucsc.edu/aid-resources/financial-aid-calculator/,https://app.meadowfi.com/ucsc,replace,Scorecard link loads and is a calculator (address is a net price calculator/estimator)
uc-riverside,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
uc-merced,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,keep,UC systemwide personalized financial aid calculator; explicitly covers Merced and loads correctly (confirmed in browser; the admissions.ucmerced.edu page blocks automated access but the systemwide tool it points to works).
cal-poly-san-luis-obispo,https://www.calpoly.edu/financial-aid/costs-and-affordability/undergraduate-costs-of-attendance/undergraduate-net-price-calculator,https://www.calpoly.edu/financial-aid/costs-and-affordability/undergraduate-costs-of-attendance/undergraduate-net-price-calculator,keep (already matches),Scorecard link loads and is a calculator (address is a net price calculator/estimator)
san-jose-state-university,https://www.sjsu.edu/faso/applying/net-price.php,https://www.sjsu.edu/faso/applying/net-price.php,keep (current is a working calculator),Scorecard link does not load (HTTP 404)
