id,current,proposed,action,why
uc-berkeley,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,https://financialaid.berkeley.edu/how-aid-works/estimate-your-financial-aid/,replace,Scorecard link loads
uc-davis,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,https://myawards.ucdavis.edu/AidEstimator,replace,Scorecard link loads
uc-irvine,https://ofas.uci.edu/cost/net-price-calculator.php,https://www.ofas.uci.edu/content/Calculator.aspx,replace,Scorecard link loads
uc-santa-barbara,https://www.finaid.ucsb.edu/costs-estimated-aid/net-price-calculator,https://finaid.ucsb.edu/net-price-calculator,replace,Scorecard link loads
uc-santa-cruz,https://financialaid.ucsc.edu/aid-resources/financial-aid-calculator/,https://app.meadowfi.com/ucsc,replace,Scorecard link loads
uc-merced,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,https://admission.universityofcalifornia.edu/tuition-financial-aid/estimate-your-aid.html,keep current,Scorecard link failed and could not be confirmed
san-jose-state-university,https://www.sjsu.edu/faso/applying/net-price.php,https://www.sjsu.edu/faso/applying/net-price.php,keep current,Scorecard link failed and could not be confirmed
cal-poly-pomona,,https://www.cpp.edu/financial-aid/resources/net-price-calculator.shtml,fill,Scorecard link loads
csu-long-beach,,,skip,"Scorecard link is a general cost page, not a calculator"
stanford-university,https://financialaid.stanford.edu/undergrad/how/calculator/index.html,https://financialaid.stanford.edu/undergrad/how/calculator/index.html?tab=net-price-calculator,replace,Scorecard link loads
university-of-southern-california,https://atweb.usc.edu/npc/,https://financialaid.usc.edu/npc,replace,Scorecard link loads
santa-clara-university,https://npc.collegeboard.org/student/app/scu,https://www.scu.edu/financialaid/Net-Price-Calculator.cfm,replace,Scorecard link loads
massachusetts-institute-of-technology,https://sfs.mit.edu/undergraduate-students/the-cost-of-attendance/estimate-your-cost/,https://npc.collegeboard.org/app/mit,replace,Scorecard link loads
carnegie-mellon-university,https://npc.collegeboard.org/app/cmu,https://www.cmu.edu/admission/costs-aid/net-price-calculator,replace,Scorecard link loads
yale-university,https://finaid.yale.edu/estimate,https://admissions.yale.edu/estimate-your-cost,replace,Scorecard link loads
columbia-university,,https://cc-seas.financialaid.columbia.edu/estimate-cost,fill,Scorecard link loads
university-of-pennsylvania,https://npc.collegeboard.org/app/upenn,https://npc.collegeboard.org/student/app/upenn,replace,Scorecard link loads
brown-university,https://npc.collegeboard.org/student/app/brown,https://npc.collegeboard.org/app/brown,replace,Scorecard link loads
dartmouth-college,https://financialaid.dartmouth.edu/cost-attendance/net-price-calculator,https://admissions.dartmouth.edu/afford/estimate-your-cost,replace,Scorecard link loads
university-of-washington,https://app.meadowfi.com/washington,https://www.washington.edu/financialaid/getting-started/net-price-calculator/,replace,Scorecard link loads
university-of-michigan,https://finaid.umich.edu/tools-resources/planning-tools-calculators,https://npc.collegeboard.org/app/umich,replace,Scorecard link loads
georgia-institute-of-technology,https://finaid.gatech.edu/costs/net-price-calculator,https://admission.gatech.edu/npc_2024/,replace,Scorecard link loads
university-of-texas-at-austin,https://onestop.utexas.edu/managing-costs/cost-tuition-rates/cost-of-attendance/net-price-calculator/,https://www.onestop.utexas.edu/managing-costs/cost-tuition-rates/cost-of-attendance/net-price-calculator/,replace,Scorecard link loads
northeastern-university,https://npc.collegeboard.org/app/northeastern,https://npc.collegeboard.org/app/northeastern,skip,"Scorecard link is a general cost page, not a calculator"
pomona-college,https://www.pomona.edu/financial-aid/cost-attendance/myintuition-cost-calculator,https://npc.collegeboard.org/student/app/pomona,replace,Scorecard link loads
williams-college,https://www.williams.edu/admission-aid/costestimator/,https://npc.collegeboard.org/app/williams,replace,Scorecard link loads
rensselaer-polytechnic-institute,https://app.meadowfi.com/rpi,https://npc.collegeboard.org/student/app/rpi,replace,Scorecard link loads
university-of-alabama,https://afford.ua.edu/,https://afford.ua.edu/,keep current,Scorecard link failed and could not be confirmed
university-of-pittsburgh,https://pitt.clearcostcalculator.com/student/default/netpricecalculator/survey,https://pitt.studentaidcalculator.com/survey.aspx,replace,Scorecard link loads
cal-state-fullerton,,https://www.fullerton.edu/financialaid/understanding-aid/cost-of-attendance/,fill,Scorecard link loads
sacramento-state,,,skip,"Scorecard link is a general cost page, not a calculator"
cal-state-northridge,,,leave empty,Scorecard link failed and could not be confirmed
cal-state-la,,,skip,"Scorecard link is a general cost page, not a calculator"
san-francisco-state,,,skip,"Scorecard link is a general cost page, not a calculator"
sonoma-state,,https://financialaid.sonoma.edu/cost-attendance/net-price-calculator,fill,Scorecard link loads (read in the browser)
cal-state-east-bay,,,leave empty,Scorecard link failed and could not be confirmed
fresno-state,,https://studentaffairs.fresnostate.edu/financialaid/netprice/index.html,fill,Scorecard link loads
chico-state,,,skip,"Scorecard link is a general cost page, not a calculator"
cal-poly-humboldt,,https://www.humboldt.edu/calculator/,fill,Scorecard link loads
claremont-mckenna-college,,https://npc.collegeboard.org/student/app/claremontmckenna,fill,Scorecard link loads
harvey-mudd-college,,https://npc.collegeboard.org/student/app/hmc,fill,Scorecard link loads
scripps-college,,https://npc.collegeboard.org/student/app/scrippscollege,fill,Scorecard link loads
occidental-college,,https://npc.collegeboard.org/app/occidental,fill,Scorecard link loads
loyola-marymount-university,,https://lmu.studentaidcalculator.com/survey.aspx,fill,Scorecard link loads
university-of-san-diego,,https://www.sandiego.edu/admissions/undergraduate/tuition-financial-aid/net-price-calculator.php,fill,Scorecard link loads
university-of-san-francisco,,https://www.usfca.edu/admission/financial-aid/net-price-calculator,fill,Scorecard link loads
chapman-university,https://www.chapman.edu/admission/undergraduate/financing/net-price-calculator.aspx,https://www.chapman.edu/students/tuition-and-aid/financial-aid/net-cost-calculator/index.aspx,replace,Scorecard link loads
pepperdine-university,,https://seaver.pepperdine.edu/admission/financial-aid/undergraduate/npc,fill,Scorecard link loads
university-of-the-pacific,,https://pacific.clearcostcalculator.com/student/default/netpricecalculator/survey,fill,Scorecard link loads
university-of-redlands,,https://www.redlands.edu/npc,fill,Scorecard link loads
amherst-college,,https://npc.collegeboard.org/student/app/amherst,fill,Scorecard link loads
swarthmore-college,,https://www.swarthmore.edu/financial-aid/net-price-calculator,fill,Scorecard link loads
