"id","name","system","website","common_app_member","test_policy_now","test_policy_status","grid_test_code","plans_now","plans_status","grid_fee","grid_fee_waiver","grid_teacher_recs","grid_counselor_rec","grid_mid_year_report","grid_personal_essay_required","grid_portfolio","priority"
"uc-berkeley","University of California, Berkeley","UC","https://www.berkeley.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"ucla","University of California, Los Angeles","UC","https://www.ucla.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"uc-san-diego","University of California, San Diego","UC","https://ucsd.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"uc-davis","University of California, Davis","UC","https://www.ucdavis.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"uc-irvine","University of California, Irvine","UC","https://uci.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"uc-santa-barbara","University of California, Santa Barbara","UC","https://www.ucsb.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"uc-santa-cruz","University of California, Santa Cruz","UC","https://www.ucsc.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"uc-riverside","University of California, Riverside","UC","https://www.ucr.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"uc-merced","University of California, Merced","UC","https://www.ucmerced.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"cal-poly-san-luis-obispo","California Polytechnic State University, San Luis Obispo","CSU","https://www.calpoly.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"san-jose-state-university","San Jose State University","CSU","https://www.sjsu.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"san-diego-state-university","San Diego State University","CSU","https://www.sdsu.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"cal-poly-pomona","California State Polytechnic University, Pomona","CSU","https://www.cpp.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"csu-long-beach","California State University, Long Beach","CSU","https://www.csulb.edu","no","Test-Free","verified on UC/CSU system page","","RD: November 30","NOT sourced","","","","","","","","1-high"
"stanford-university","Stanford University","Private","https://www.stanford.edu","yes","Test-Required","NOT yet verified","A","REA: November 1 | RD: January 5","from Common App grid only","$100","Accepted","2","yes","yes","yes","The school's own system","2-normal"
"university-of-southern-california","University of Southern California","Private","https://www.usc.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | EA: November 1 | RD: January 10","from Common App grid only","$85","Accepted","","yes","yes","yes","SlideRoom","2-normal"
"santa-clara-university","Santa Clara University","Private","https://www.scu.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | ED2 (binding): January 7 | EA: November 1 | RD: January 7","from Common App grid only","$75","Accepted","1","","yes","yes","","2-normal"
"massachusetts-institute-of-technology","Massachusetts Institute of Technology","Private","https://www.mit.edu","no","Test-Required","NOT yet verified","","EA: November 1 | RD: January 4","NOT sourced","","","","","","","","1-high"
"carnegie-mellon-university","Carnegie Mellon University","Private","https://www.cmu.edu","yes","Test-Optional","NOT yet verified","S","ED (binding): November 2 | RD: January 4","from Common App grid only","$75","Accepted","1","yes","yes","yes","","2-normal"
"harvard-university","Harvard University","Private","https://www.harvard.edu","yes","Test-Required","NOT yet verified","A","REA: November 1 | RD: January 1","from Common App grid only","$95","Accepted","2","yes","yes","yes","SlideRoom","2-normal"
"princeton-university","Princeton University","Private","https://www.princeton.edu","yes","Test-Optional","NOT yet verified","N","REA: November 1 | RD: January 1","from Common App grid only","$85","Accepted","2","yes","yes","yes","The school's own system","2-normal"
"yale-university","Yale University","Private","https://www.yale.edu","yes","Test-Required","NOT yet verified","A","REA: November 1 | RD: January 2","from Common App grid only","$85","Accepted","2","yes","yes","yes","","2-normal"
"columbia-university","Columbia University","Private","https://www.columbia.edu","yes","Test-Optional","NOT yet verified","N","ED (binding): November 1 | RD: January 1","from Common App grid only","$85","Accepted","2","yes","yes","yes","SlideRoom","2-normal"
"university-of-pennsylvania","University of Pennsylvania","Private","https://www.upenn.edu","yes","Test-Required","verified on school page","A","ED (binding): November 1 | RD: January 5","from Common App grid only","$75","Accepted","1","yes","yes","yes","","done"
"cornell-university","Cornell University","Private","https://www.cornell.edu","yes","Test-Required","NOT yet verified","A","ED (binding): November 1 | RD: January 2","from Common App grid only","$85","Accepted","2","yes","yes","yes","","2-normal"
"brown-university","Brown University","Private","https://www.brown.edu","yes","Test-Required","NOT yet verified","A","ED (binding): November 1 | RD: January 5","from Common App grid only","$80","Accepted","2","yes","yes","yes","SlideRoom","2-normal"
"dartmouth-college","Dartmouth College","Private","https://www.dartmouth.edu","yes","Test-Required","NOT yet verified","A","ED (binding): November 1 | RD: January 1","from Common App grid only","$85","Accepted","2","yes","yes","yes","","2-normal"
"california-institute-of-technology","California Institute of Technology","Private","https://www.caltech.edu","yes","Test-Required","NOT yet verified","A","REA: November 1 | RD: January 4","from Common App grid only","$85","Accepted","2","","yes","yes","","2-normal"
"purdue-university","Purdue University","Out-of-State Public","https://www.purdue.edu","yes","Test-Required","NOT yet verified","A","EA: November 1 | RD: January 15","from Common App grid only","$60","Accepted","","","","yes","","2-normal"
"university-of-illinois-urbana-champaign","University of Illinois Urbana-Champaign","Out-of-State Public","https://illinois.edu","yes","Test-Optional","NOT yet verified","N","EA: November 1 | RD: January 5","from Common App grid only","$75","U.S. only","","","","yes","","2-normal"
"university-of-washington","University of Washington","Out-of-State Public","https://www.washington.edu","yes","Test-Optional","NOT yet verified","S","RD: November 15","from Common App grid only","$85","Accepted","","","","yes","","2-normal"
"university-of-michigan","University of Michigan","Out-of-State Public","https://umich.edu","yes","Test-Optional","NOT yet verified","F","ED (binding): November 1 | EA: November 1 | RD: February 1","from Common App grid only","$75","Accepted","1","","","yes","SlideRoom","2-normal"
